row_number,title,detail_url,resource_id,contracting_authority,info,date_published,submission_deadline,procedure,status,notice_pdf_url,award_date,estimated_value,cycle
15,"Donegal County Council New Friends, New Relationships Lifford, Stranorlar Municipal District Youth PEACEPLUS Programme Re-issue Nov 25",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7009320,7009320,Donegal County Council_1193,,Mon Nov 17 14:53:23 GMT 2025,Mon Dec 15 12:00:00 GMT 2025,Open,Tender Submission,,,80000.0,1
16,LA3498C - Request for Tenders for the Supply of a Dumas Protein and Nitrogen Analyser for Maynooth University (MU),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7005249,7005249,Education Procurement Service (EPS),,Mon Nov 17 14:48:08 GMT 2025,Mon Dec 08 14:00:00 GMT 2025,Open,Tender Submission,,,65000.0,1
17,"Call for Tender for the provision of Hot Meals under the School Meals Scheme to St. Joseph's NS, Bree 17800D",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6997508,6997508,S.N. Seosamh Naofa,,Mon Nov 17 12:38:43 GMT 2025,Fri Dec 12 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6997508,,396514.4,1
18,"St. Vincents Hospital Community Nursing Unit Enabling Works, Athy, Co. Kildare",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7005587,7005587,Health Service Executive (HSE),,Mon Nov 17 12:31:51 GMT 2025,Mon Dec 01 12:00:00 GMT 2025,Open,Tender Submission,,,,1
19,"Design, Supply and install of 2 No. Lightweight Prefabricated Units for purchase including all ancillary works to Kerry Fire Services Department",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7005661,7005661,Kerry County Council_1204,,Mon Nov 17 12:14:35 GMT 2025,Wed Dec 03 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7005661,,,1
20,Feasibility Study for Pump Tracks in the Ballyhoura Region,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7004238,7004238,Ballyhoura Development CLG_1274,,Mon Nov 17 12:03:59 GMT 2025,Wed Dec 10 17:00:00 GMT 2025,Accelerated open,Tender Submission,,,40000.0,1
21,LA3454C - UL - CFT for the Supply and Delivery of Teaching Equipment for the Equipment Systems Engineering Masters Apprenticeship for University of Limerick (UL),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7005352,7005352,Education Procurement Service (EPS),,Mon Nov 17 11:45:46 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Open,Tender Submission,,,138000.0,1
22,Art for Adamstown Primary Care Centre,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6998358,6998358,Health Service Executive (HSE),,Mon Nov 17 11:31:42 GMT 2025,Mon Dec 22 12:00:00 GMT 2025,Open,Tender Submission,,,,1
23,St. Columba's N.S. 16659A,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6915502,6915502,St. Columba’s National School (Glasnevin),,Mon Nov 17 10:47:44 GMT 2025,Mon Dec 08 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6915502,,660441.6,1
24,Provision of Services for Preparation of Integrated Source Protection Plan for Ballinabranna Water Co-operative Society Ltd. (Ballinabranna GWS),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7003136,7003136,Ballinabranna Water Co-Operative Society Ltd,,Mon Nov 17 10:39:20 GMT 2025,Fri Dec 12 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7003136,,,1
25,Tender for the Provision of a backup Solution for MTU Microsoft Office 365 tenant including EntraID Configuration,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6983752,6983752,Munster Technological University.,,Mon Nov 17 08:50:06 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6983752,,,1
26,"Tipperary Mid West Radio - supply, deliver, install and commission equipment as specified",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6990873,6990873,Tipperary Mid-West Radio Co-operative Society Ltd,,Mon Nov 17 07:42:37 GMT 2025,Mon Dec 08 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6990873,,,1
27,DLR Co Co - Single Party Framework for the Provision of Facilities Management Services for dlr Lexicon Library and Cultural Centre,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6979645,6979645,Dun Laoghaire-Rathdown County Council,,Mon Nov 17 04:21:22 GMT 2025,Fri Dec 19 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6979645,,7000000.0,1
28,Multi-Party Framework Agreement for Energy Efficient Designer 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6972516,6972516,Health Service Executive (HSE),,Mon Nov 17 04:21:21 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6972516,,,1
29,Request for Tenders for the supply of Forklift and pallet trucks and the provision of servicing and maintenance of same for the Department of Social Protection.,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6993940,6993940,Department of Social Protection_349,,Mon Nov 17 04:20:44 GMT 2025,Wed Dec 17 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6993940,,150000.0,1
30,"Lough Carra GWS water conservation, leakage reduction and prevention works",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6994226,6994226,Mayo County Council_1127,,Mon Nov 17 04:10:36 GMT 2025,Fri Dec 05 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6994226,,,1
31,Multi-Party Framework Agreement for Independent Project Supervisor Design Process (PSDP) Services 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6971036,6971036,Health Service Executive (HSE),,Mon Nov 17 04:03:17 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6971036,,,1
32,Multi-Party Framework Agreement for Civil/Structural Engineering Services 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6969929,6969929,Health Service Executive (HSE),,Mon Nov 17 04:03:05 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6969929,,,1
33,Invitation to tender for the provision a Molecular multiplex Blood Culture Assay for use with a The FilmArray Torch System for the automated detection of pathogens and antibiotic resistance genes,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6992752,6992752,St James's Hospital,,Mon Nov 17 04:02:54 GMT 2025,Mon Dec 15 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6992752,,476000.0,1
34,Multi-Party Framework Agreement for Building Services Engineering (MandE) 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6969515,6969515,Health Service Executive (HSE),,Mon Nov 17 04:02:52 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6969515,,,1
35,Multi-Party Framework Agreement for Fire Safety Consultant Services 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6972752,6972752,Health Service Executive (HSE),,Mon Nov 17 04:02:41 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6972752,,,1
36,Tender for the Supply and Installation of Assistive Equipment for Clients in Dublin/Kildare,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6994886,6994886,Health Service Executive (HSE),,Mon Nov 17 04:02:29 GMT 2025,Fri Dec 19 00:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6994886,,1500000.0,1
37,Provision of Board Meeting Management Software,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6994263,6994263,Housing and Sustainable Communities Agency,,Mon Nov 17 04:02:25 GMT 2025,Fri Dec 19 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6994263,,225000.0,1
38,Multi-Party Framework Agreement for Architect Services (including Planning and BIM Information Manager) 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6922592,6922592,Health Service Executive (HSE),,Mon Nov 17 04:02:12 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6922592,,,1
39,Training and Development Programme 2026 -2028,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6978756,6978756,Rural Food Skillnet,,Mon Nov 17 04:01:58 GMT 2025,Fri Dec 05 00:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6978756,,300000.0,1
40,Multi-Party Framework Agreement for Quantity Surveying Services 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6968985,6968985,Health Service Executive (HSE),,Mon Nov 17 04:01:56 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6968985,,,1
41,Multi-Party Framework Agreement for Assigned Certifier 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6972034,6972034,Health Service Executive (HSE),,Mon Nov 17 04:01:44 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6972034,,,1
42,Multi-Party Framework Agreement for Employer's Representative 2025 for HSE major works projects,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6971432,6971432,Health Service Executive (HSE),,Mon Nov 17 04:01:30 GMT 2025,Wed Jan 14 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6971432,,,1
43,"Kilmeena GWS Water Conservation, Leakage Reduction and Prevention Works.",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6993250,6993250,Mayo County Council_1127,,Mon Nov 17 03:51:44 GMT 2025,Fri Dec 05 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6993250,,,1
44,TR3901 ESB Remote Monitoring,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6894170,6894170,Electricity Supply Board ( ESB ),,Mon Nov 17 03:50:37 GMT 2025,Thu Dec 18 12:00:00 GMT 2025,Negotiated with prior call for competition,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6894170,,,1
45,WCC572025 Multiparty Framework Energy Efficiency Retrofit Housing Framework 2026-2030,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6973793,6973793,Wicklow County Council,,Mon Nov 17 03:21:50 GMT 2025,Thu Dec 04 00:00:00 GMT 2025,Restricted,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6973793,,,1
46,Tender for the Provision of a Plagiarism Detection Solution to MTU,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6990649,6990649,Munster Technological University.,,Mon Nov 17 03:12:16 GMT 2025,Wed Jan 07 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6990649,,,1
47,2025PR062 Request for Tenders (RFT) for the provision of an Enterprise Risk Management System to the Strategic Banking Corporation of Ireland (SBCI),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7000702,7000702,National Treasury Management Agency (NTMA),,Sat Nov 15 00:49:48 GMT 2025,Fri Dec 05 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7000702,,,1
48,2025PR085 Request for Tenders (RFT) for the provision of eLearning Platform and Content to the National Treasury Management Agency (NTMA),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=7000598,7000598,National Treasury Management Agency (NTMA),,Fri Nov 14 21:26:29 GMT 2025,Fri Dec 05 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=7000598,,,1
49,Provision of a Customer Relationship Management (CRM) System built on Microsoft Dynamics in a client tenant,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6999275,6999275,Irish Red Cross,,Fri Nov 14 17:03:35 GMT 2025,Mon Dec 15 17:00:00 GMT 2025,Open,Tender Submission,,,175000.0,1
50,"Request for Tender - To deliver a comprehensive, multi-channel campaign to promote Laois as a premier business location",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6998696,6998696,Laois County Council,,Fri Nov 14 16:23:07 GMT 2025,Fri Dec 05 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6998696,,80000.0,1
51,"Call for Tender for the provision of Hot Meals under the School Meals Scheme to Rossmore NS, 20504Q",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6994395,6994395,Rossmore NS,,Fri Nov 14 16:07:13 GMT 2025,Fri Dec 05 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6994395,,145018.0,1
52,International PR Consultancy Service,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6995501,6995501,National Gallery of Ireland,,Fri Nov 14 15:45:38 GMT 2025,Tue Dec 16 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6995501,,80000.0,1
53,"Carbon Calculator, Verification and Labelling System",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6988136,6988136,Coimisiún na Meán,,Fri Nov 14 15:45:16 GMT 2025,Mon Dec 15 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6988136,,155000.0,1
54,CFT 3879 - The supply of a range of eBikes and associated services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6998153,6998153,South Dublin County Council,,Fri Nov 14 15:14:01 GMT 2025,Fri Dec 05 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6998153,,,1
55,"Monaghan County Council wishes to tender for: Construction of a Monaghan County Council Depot at Teehill, Clones, comprising equipment, vehicle storage and staff accommodation.",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6997713,6997713,Monaghan County Council,,Fri Nov 14 14:53:52 GMT 2025,Tue Dec 09 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6997713,,,1
56,Insurance Brokerage and Placement Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6997077,6997077,Merchants Quay Ireland CLG,,Fri Nov 14 14:24:52 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,,,200000.0,1
57,Term Maintenance Contract Central and Space Heating Units in 2 Brigade,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6993868,6993868,Irish Defence Forces_1144,,Fri Nov 14 11:15:33 GMT 2025,Mon Dec 15 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6993868,,,1
58,HCL Domino Complete Collaboration Term Licenses,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6991030,6991030,Department of Enterprise Trade and Employment,,Fri Nov 14 10:39:33 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6991030,,20000.0,1
59,Call for Tender for the provision of Hot Meals under the School Meals Scheme to Gardiner Street Primary School 12448N,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6992221,6992221,Gardiner Street Primary School,,Fri Nov 14 09:31:40 GMT 2025,Fri Dec 05 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6992221,,532000.0,1
60,Provision of Services for the collection and chipping/shredding of Christmas trees in January at various locations throughout Cork City,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6989974,6989974,Cork City Council,,Fri Nov 14 09:29:22 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6989974,,,1
61,Stakeholder Relations and Public Relations Training Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6990183,6990183,The Office of the Director of Authorised Intervention Tuam,,Fri Nov 14 08:37:06 GMT 2025,Fri Dec 12 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6990183,,130000.0,1
62,Provision of a Human Resources Information System,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6986015,6986015,Housing and Sustainable Communities Agency,,Fri Nov 14 04:00:58 GMT 2025,Fri Dec 19 13:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6986015,,250000.0,1
63,National Childcare Scheme (NCS) Evaluation,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6984157,6984157,Department of Children Disability and Equality,,Fri Nov 14 04:00:49 GMT 2025,Mon Dec 15 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6984157,,190000.0,1
64,"LA3392C - University of Galway - CFT for the Supply, Delivery, Installation and Commissioning of an Automated High Content Live Cell Imaging and Analysis System for the University of Galway",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6986963,6986963,Education Procurement Service (EPS),,Fri Nov 14 04:00:39 GMT 2025,Mon Dec 22 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6986963,,609500.0,1
65,LI3542C MU PQQ For the Provision of Subscriptions to a Service Providing Financial Real-time Data and News and Financial Datasets,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6980857,6980857,Education Procurement Service (EPS),,Fri Nov 14 03:31:17 GMT 2025,Mon Dec 15 14:00:00 GMT 2025,Restricted,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6980857,,280000.0,1
66,"CFT 3881 - Conducting surveys for the purpose of updating the Councils Tree Database and Maintenance platform, Arbortrack",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6981146,6981146,South Dublin County Council,,Fri Nov 14 03:31:03 GMT 2025,Mon Dec 15 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6981146,,,1
67,2356 - Multi-Supplier Panel for Legal Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6966241,6966241,An Post_391,,Fri Nov 14 03:21:43 GMT 2025,Wed Dec 17 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6966241,,,1
68,25P061 RTÉ Ingest and Playout Solution,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6982090,6982090,Raidió Teilifís Éireann ( RTÉ ),,Fri Nov 14 03:20:20 GMT 2025,Mon Dec 15 13:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6982090,,1500000.0,1
69,LA3535F-RFT for the Provision of Services for the Collection and Disposal of Hazardous Waste for Laboratory and Research,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6975909,6975909,Education Procurement Service (EPS),,Fri Nov 14 03:10:31 GMT 2025,Mon Dec 15 00:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6975909,,1.0E7,1
70,Call for Tenders for the provision of Hot Meals under the School Meals Scheme to Enniscrone N.S. 13940W,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6991595,6991595,Scoil Chríost Rí Enniscrone,,Thu Nov 13 21:29:16 GMT 2025,Thu Dec 04 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6991595,,239366.0,1
