should_bid,confidence,reasoning,relevant_factors,estimated_fit,resource_id,analyzed_at
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) is mentioned in the 'Immediate Disqualification' section.",['Primary reason for decision'],0,7080306,2025-11-28T15:02:13.238578
False,high,Rejection due to non-IT service - Construction/facilities/building works,['Construction works not related to IT services'],0,7080692,2025-11-28T15:02:15.677917
False,high,"Physical goods only (furniture, equipment, vehicles, supplies) as it does not match Version 1's technology consultancy services.",['Primary reason for decision'],0,7075252,2025-11-28T15:02:18.204872
False,high,"Immediate disqualification due to non-IT services (Cleaning, maintenance, or janitorial services) provided by the contracting authority",['Primary reason for decision'],0,7051886,2025-11-28T15:02:20.766064
False,high,Immediate disqualification due to lack of valid CPV codes found.,['No valid CPV codes present'],0,7076905,2025-11-28T15:02:23.081961
False,high,"Physical goods ONLY (furniture, equipment)",['Primary reason for decision'],,7071407,2025-11-28T15:02:25.103831
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies) as it does not mention software, IT, technology, cloud, data, digital, or systems",['Primary reason for decision'],0,7078636,2025-11-28T15:02:27.804712
False,high,"Colaiste Muire Ennis tender does not mention software, IT, technology, cloud, data, digital, or systems directly. The contract is for Architectural Consulting Services, which primarily involves construction and facilities work.","[""Tender doesn't match our core services""]",0,7078138,2025-11-28T15:02:30.798066
False,high,"Catering services and meals are physical goods only (furniture, equipment, vehicles, supplies, trees, ice machines) and do not match Version 1's technology capabilities.",['Primary reason for decision'],0,7090177,2025-11-28T15:02:33.535493
False,low,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines)",['Tender type: Physical goods only'],0,7089999,2025-11-28T15:02:35.909408
False,high,Non-IT services - Catering (food services or meals),"[""Tender is for catering services, which falls outside of Version 1's technology capabilities.""]",,7084617,2025-11-28T15:02:38.304646
False,high,"Tender details do not explicitly mention software, IT, technology, cloud, data, digital, or systems. Also, the contracting authority is a sports complex company, which suggests non-IT services.","['Lack of clear IT/technology evidence', 'Non-technology professional services']",,7080867,2025-11-28T15:02:41.191659
False,high,Immediate disqualification due to catering services (Step 2) and no valid IT keywords found in the tender title.,"['Catering services', 'No valid IT keywords']",0,7088689,2025-11-28T15:02:43.791478
False,high,"Physical goods ONLY (haptic vet simulator) and non-IT services (installation, training, upgrades, support)",['Primary reason for decision'],0,7085816,2025-11-28T15:02:46.266125
False,low,"The tender title does not mention software, IT, technology, cloud, data, digital, or systems. It is related to a water scheme and does not contain any clear IT/technology evidence.","['No clear IT/technology component', 'Non-IT services']",0,7085552,2025-11-28T15:02:49.242248
False,high,Physical goods only (furniture) - does not match our company's capabilities as a technology consultancy.,['Primary reason for decision'],0,7003605,2025-11-28T15:02:51.598067
False,high,"Physical goods only (furniture, equipment, vehicles, supplies) - REJECT immediately as non-IT service",['Non-IT service'],0,7084584,2025-11-28T15:02:54.089491
False,high,"Physical goods only - furniture, equipment, vehicles, supplies, trees, ice machines",['Primary reason for decision'],0,7085265,2025-11-28T15:02:56.478991
False,high,"Rejection due to physical goods only - furniture, equipment, vehicles, supplies, trees, ice machines","['Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines)']",0,7061648,2025-11-28T15:02:59.241270
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) are mentioned in the tender, which is outside of Version 1's capabilities.",['Primary reason for decision'],0,7069972,2025-11-28T15:03:02.000603
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies) and no IT keywords found in the tender title.","['Rejection of non-IT services', 'No IT keywords found']",0,7081458,2025-11-28T15:03:04.637213
False,low,"Tender does not explicitly mention software or technology services. It only mentions Supply and Delivery of a High Performance Rack Mounted GPU Server, which is primarily for physical goods.","['Primary reason for decision', 'No clear IT/technology evidence']",-,7083171,2025-11-28T15:03:07.482601
False,high,"Specific reason - Non-IT services, as Coláiste Éamonn Rís is requesting furniture and equipment (physical goods) without any IT or technology-related components.",['Primary reason for decision'],0,7083206,2025-11-28T15:03:10.213746
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) - does not match Version 1's capabilities as a technology company.",['Primary reason for decision'],,7007139,2025-11-28T15:03:12.671187
False,high,"Non-IT services - Catering, food services, or meals","['Catering, food services, or meals']",0,7081968,2025-11-28T15:03:15.089918
True,high,Tender title mentions 'Comprehensive Pension Administration Services on an Outsourced Basis' which includes IT/technology component. Version 1 is a technology company and has the capability to provide such services.,"[""Matches Version 1's capabilities and service offerings""]",80,7075788,2025-11-28T15:03:17.993969
False,high,Non-IT service - Marketing Services China does not match any of Version 1's technology services and is explicitly excluded from bidding,['Primary reason for decision'],0,6689260,2025-11-28T15:03:20.543459
False,high,Specific reason - Rejects physical goods (catering services) as it does not match Version 1's technology company profile and bid scope.,['Primary reason for decision'],0,7068173,2025-11-28T15:03:23.152967
False,high,"Immediately rejecting non-IT services - Building or construction work, Construction, facilities, or building works",['Primary reason for decision'],0,7072528,2025-11-28T15:03:25.569291
False,high,"The tender title does not explicitly mention software, IT, technology, cloud, data, digital, or systems, and the estimated value is $0.0, indicating it's purely physical goods.","['Tender title does not indicate IT services', 'Estimated value of $0.0 suggests no IT component']",0,7073320,2025-11-28T15:03:28.776935
False,high,"Tender is for roof repair services, which is a construction or facilities service, and does not match Version 1's technology capabilities.","['Tender does not mention software, IT, technology, cloud, data, digital, or systems; construction/facilities services']",0,7072488,2025-11-28T15:03:31.864390
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies) applies",['School Meals Scheme is a catering service'],0,7070710,2025-11-28T15:03:34.263854
False,high,"Rejection - Non-IT services: Catering, food services, or meals (Estimated Value: 340000.0)","['Catering, food services, or meals']",0,7069864,2025-11-28T15:03:36.908662
False,high,Physical goods ONLY (vehicles) - does not match Version 1's non-bid categories,"['Primary reason for decision', 'Type of service']",0,7064931,2025-11-28T15:03:39.358420
False,high,"Specific reason - Construction of additional Childcare building space and associated works does not mention software, IT, technology, cloud, data, digital, or systems. It falls under physical goods category.",['Construction services'],0,7071124,2025-11-28T15:03:42.094402
False,high,"Physical goods only (furniture, equipment, vehicles, supplies, trees, ice machines)","['Furniture, equipment, and other physical goods are excluded from our services']",0,7080341,2025-11-28T15:03:44.673107
False,high,"Primary reason for decision - Construction, facilities, or building works listed in IMMEDIATE DISQUALIFICATION as non-IT services.","['Construction, facilities, or building works']",0,7080228,2025-11-28T15:03:47.265584
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines)",['Primary reason for decision'],,7076214,2025-11-28T15:03:49.463590
False,high,Physical goods only - furniture/equipment/vehicles/supplies (road sweeper),['Primary reason for decision'],0,7078863,2025-11-28T15:03:51.761365
False,low,Specific reason - non-IT service: Food or catering services,['Catering services are not IT-related'],0,7077580,2025-11-28T15:03:54.123179
False,low,"Specific reason - the tender is for provision of hot meals under the School Meals Scheme, which falls under physical goods ONLY (catering, food services)","[""Tender does not match Version 1's capabilities""]",0,7075599,2025-11-28T15:03:56.883435
False,high,"Specific reason - Physical goods ONLY (furniture, equipment, vehicles, supplies) is mentioned in the tender details, which aligns with Version 1's exclusion criteria.",['Primary reason for decision'],0,7076987,2025-11-28T15:03:59.602412
False,high,"Non-IT services - Physical goods ONLY (furniture, equipment, vehicles, supplies) are mentioned in the tender details.",['Primary reason for decision'],0,7037890,2025-11-28T15:04:02.160448
False,high,"Non-IT services - Physical goods ONLY (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7075359,2025-11-28T15:04:04.550358
False,high,"Primary reason for decision - Tender is for a Cabinteely Playground Upgrade, which falls under construction and facilities/building works, but has no clear indication of IT/technology services or digital solutions.",['Tender does not indicate any IT/technology component'],,7073735,2025-11-28T15:04:07.329322
False,high,"Physical goods only (furniture, equipment) or catering services. The tender is for provision of hot meals under the School Meals Scheme.",['Primary reason for decision'],0,7074232,2025-11-28T15:04:09.905230
False,high,"No PDF content available to assess the tender details thoroughly. However, based on the information provided, it appears that the contract is not related to IT services as there are no clear indicators of software development, cloud infrastructure, data platforms, or other IT-related requirements.",['Lack of IT-related keywords in the title and no PDF content to analyze'],0,7041831,2025-11-28T15:04:13.214327
False,high,Immediate disqualification due to physical goods only (pier modular building unit) is a construction facility work,['Primary reason for decision'],0,7041668,2025-11-28T15:04:15.613113
False,low,"Tender does not specify software, IT, technology, cloud, data, or digital systems. It is related to media strategy, planning and buying, which falls under marketing and advertising services.",['Non-IT service'],0,7064109,2025-11-28T15:04:18.358547
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works are mentioned in the tender details.","['Non-IT services', 'Physical goods']",0,7065865,2025-11-28T15:04:21.123844
False,low,"REJECT immediately - Physical goods only (furniture, equipment, vehicles, supplies, trees, ice machines)",['Primary reason for decision'],,7066357,2025-11-28T15:04:23.434348
False,low,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Supply of TWO Pneumatic Tyre Rollers does not match Version 1's capabilities as a TECHNOLOGY company.","['Lack of IT/technology component', 'Non-technology professional services']",,7065341,2025-11-28T15:04:26.357923
False,high,"Non-IT services - Catering, food services, or meals",['Catering is not an IT service'],0,7063782,2025-11-28T15:04:28.750619
False,low,"Non-IT services - Physical goods ONLY (furniture), Catering, food services, or meals are excluded from bidding",['Non-IT services'],0,7059501,2025-11-28T15:04:31.259580
False,low,"Physical goods ONLY (furniture, equipment, vehicles, supplies)","['Physical goods Only', 'Non-IT Services']",,7059834,2025-11-28T15:04:33.485000
False,high,"Specific reason - Construction, facilities, or building works are included in the tender, which falls outside of Version 1's bidding scope.",['Primary reason for decision'],0,7062906,2025-11-28T15:04:36.047334
False,high,"Immediate disqualification - The tender is for physical goods (furniture, equipment, vehicles) and construction works (coastal monitoring aerial photography and LiDAR survey), which are not IT-related services.","['Physical goods and construction work', 'Non-IT service']",0,7059450,2025-11-28T15:04:39.040411
False,high,"Tender is for supply of physical goods (chip spreader) which falls under furniture, equipment, vehicles, supplies, trees, ice machines. Version 1 does not bid on physical product procurement.",['Primary reason for decision'],0,7059117,2025-11-28T15:04:41.880537
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works are mentioned in the tender details.",['Primary reason for decision'],0,7071442,2025-11-28T15:04:44.567829
False,high,"Mullaghbuoy National School is looking for provision of Hot Meals under the School Melas Scheme, which falls under catering and food services. This tender does not align with Version 1's technology company capabilities.","['Physical goods only', 'Catering, food services, or meals']",0,7071540,2025-11-28T15:04:47.660842
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) listed under IMMEDIATE DISQUALIFICATION",['Primary reason for decision'],0,7071284,2025-11-28T15:04:50.213049
False,high,No valid IT-related requirement found in the tender title and description.,['Tender does not mention any IT-related services or keywords'],0,7070857,2025-11-28T15:04:52.620004
False,high,Non-IT service - construction and building works are mentioned in the tender title.,['Primary reason for decision'],0,7071182,2025-11-28T15:04:55.029389
False,high,"Tender details do not match any of Version 1's technology offerings. It specifies physical goods (furniture, equipment), non-IT services (catering, cleaning), and does not mention software, IT, technology, cloud, data, digital, or systems.",['Primary reason for decision'],0,7069421,2025-11-28T15:04:58.258615
False,high,"Physical goods only (furniture, equipment, vehicles, supplies, trees, ice machines)","['Tender is for physical goods, which Version 1 does not bid on']",0,7070450,2025-11-28T15:05:00.822571
False,high,Non-IT service - Physical goods ONLY (equipment) specified in tender details,['Primary reason for decision'],0,7070391,2025-11-28T15:05:03.155817
False,high,"Physical goods only (furniture, equipment, vehicles, supplies)","['Furniture', 'equipment', 'vehicles', 'supplies']",0,7069350,2025-11-28T15:05:05.589809
False,high,"Non-IT services - Compliance Monitoring on Private Water Supplies (tender does not mention software, IT, technology, cloud, data, digital, or systems)",['No clear evidence of IT/technology component'],0,7069633,2025-11-28T15:05:08.328521
False,high,"The tender is for physical goods and construction work, which falls outside of Version 1's technology services.",['Physical goods only'],0,7068303,2025-11-28T15:05:10.738468
False,high,Specific reason - Physical goods ONLY (catering) does not match our company's non-bid scope,['Kilmurry NS tender matches a physical goods category'],0,7067720,2025-11-28T15:05:13.316294
False,high,"Primary reason for decision - Non-IT services: ArcGIS Licences, Maintenance and Professional Service Days do not match Version 1's technology company profile as it involves software license management and IT support without a clear indication of application development or modernization.","['Non-IT services', 'Lack of Technology Company Profile']",0,7061490,2025-11-28T15:05:16.513598
False,high,Physical goods ONLY (construction works),['Construction works are not a technology service'],0,7067213,2025-11-28T15:05:18.735111
False,low,"Physical goods ONLY (furniture, equipment, vehicles, supplies) and Construction, facilities, or building works are mentioned in the tender title.","['Tender title mentions physical goods and construction services', 'Version 1 does not bid on these types of services']",,7067007,2025-11-28T15:05:21.524819
False,high,"Non-IT services - Construction, facilities, or building works","['Tender does not mention software, IT, technology, cloud, data, digital, or systems; falls under construction category']",0,7062441,2025-11-28T15:05:24.203548
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works are not mentioned in the tender title.","['Tender does not mention IT/technology services', 'Tender title does not contain keywords for software, cloud, data, digital, or systems.']",,7065576,2025-11-28T15:05:27.258544
False,high,"Non-IT services - Contract for the Provision of Services for LIFE on Machair is a part-time Project Officer role, which does not align with Version 1's technology consulting capabilities.","['Part-time Project Officer', 'Non-technology professional services']",,7065161,2025-11-28T15:05:30.023126
False,low,"Non-IT services - catering, food services, or meals (Step 2) and non-technology professional services (excluded by Version 1's company description)",['Primary reason for decision'],0,7064892,2025-11-28T15:05:32.720157
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works are mentioned in the tender details.",['Primary reason for decision'],0,7064486,2025-11-28T15:05:35.445226
False,high,"Specific reason - Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Catering, food services, or meals are mentioned as IMMEDIATE DISQUALIFICATION criteria, which matches Version 1's non-bid scope.",['Primary reason for decision'],0,7064675,2025-11-28T15:05:38.523302
False,high,"Specific reason - Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) as the contract requires a Fluorescent in situ Hybrisisation (FISH) Microscope and a Cytogenetic Image Analysis and Management System which are physical products.",['Primary reason for decision'],0,7064449,2025-11-28T15:05:41.755510
False,low,Lack of specific IT-related services in the tender title and no clear evidence of a technology component.,['Tender lacks clarity on IT-related services'],0,7061591,2025-11-28T15:05:44.255764
False,high,"Specific reason - Non-IT services: Catering, food services, or meals","[""Catering services not matching Version 1's capabilities""]",0,7054656,2025-11-28T15:05:46.748949
False,high,"Specific reason - Physical goods ONLY (furniture), which falls under our version of non-IT services","['Primarily a construction tender, not technology-focused']",0,7052540,2025-11-28T15:05:49.289984
False,high,"No PDF content available for review, but the tender title does not explicitly mention software, IT, technology, cloud, data, digital, or systems. This indicates a high likelihood of the tender being non-IT in nature.",['Lack of clear indication of IT components'],0,7049477,2025-11-28T15:05:52.308632
False,high,"Non-IT services - Catering, food services, or meals are mentioned in the tender information.",['Primary reason for decision'],0,7050024,2025-11-28T15:05:54.738137
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Transportation or logistics services are mentioned in the tender. These services do not match Version 1's capabilities.","['Non-technology professional services', 'Transportation or logistics services']",0,7050527,2025-11-28T15:05:57.722509
False,high,"Immediate disqualification due to construction/facilities/services, as the tender specifies 'new educational building and associated site works' at Grennan Equestrian Centre.",['Primary reason for decision'],0,7045744,2025-11-28T15:06:00.418151
False,high,"Rejection due to non-IT service: Physical goods ONLY (Office Supplies, ICT Consumables/Peripherals and Printing Paper) ",['Primary reason for decision'],0,7050490,2025-11-28T15:06:02.963157
False,high,"Specific reason - REJECT immediately due to Physical goods ONLY (furniture, equipment) category","['Physical goods ONLY', 'Non-IT services']",,7050130,2025-11-28T15:06:05.305491
False,low,"Tender does not mention software, IT, technology, cloud, data, digital, or systems explicitly and the contracting authority is unclear. It also lacks valid CPV codes for IT/software.","['Lack of clear indication of IT-related requirements', 'No valid CPV codes']",0,7046392,2025-11-28T15:06:08.300706
False,high,"Non-IT service - Catering, food services, or meals",['Tender is for provision of Technical Writing Skills which is a non-IT professional service'],0,7047097,2025-11-28T15:06:10.854230
False,high,"Rejection due to non-IT service category - Catering, food services or meals are mentioned in the tender as part of 'ESB Employee Events' and 'Corporate Entertainment'.","['Catering, food services']",0,7017104,2025-11-28T15:06:13.648317
False,high,"Specific reason - non-IT services: Housing Maintenance Windows and Doors is a physical goods service, specifically for furniture (furniture, equipment, vehicles, supplies), which is outside of Version 1's capability statement.",['Primary reason for decision'],0,7048859,2025-11-28T15:06:16.546344
False,high,"Non-IT services - Survey Vessel Operations and Management Services (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7049757,2025-11-28T15:06:18.991102
False,high,"Non-IT services - Catering, food services, or meals","['Catering, food services, or meals']",0,7051447,2025-11-28T15:06:21.382068
False,high,"Non-IT service - Catering, food services, or meals","['Tender is for First Aid Training, which involves providing first aid training and does not appear to be related to software or technology services']",0,7061366,2025-11-28T15:06:24.065404
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works are mentioned in the tender details. Version 1 does not bid on these types of services.",['Primary reason for decision'],,7063217,2025-11-28T15:06:26.829242
False,high,Rejection due to physical goods and catering services mentioned in the tender title.,['Primary reason for decision'],0,7063122,2025-11-28T15:06:29.152933
False,high,"Specific reason - Catering services are a physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) service.",['Physical goods ONLY'],0,7063083,2025-11-28T15:06:31.710674
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works mentioned in the tender title.","['Tender title does not mention software, IT, technology, cloud, data, digital, or systems', 'Primary reason for decision: Rejection of non-IT services']",,7062963,2025-11-28T15:06:34.815727
False,low,"Physical goods ONLY (furniture, equipment) and Construction, facilities, or building works are mentioned in the tender details. Therefore, this service does not match Version 1's capabilities.",['Non-IT professional services'],,7060999,2025-11-28T15:06:37.462168
False,high,"Non-IT service - Catering, food services, or meals","['Tender includes a contract for the provision of services for LIFE on Machair, which is a non-IT related project']",0,7060751,2025-11-28T15:06:40.180404
False,high,Non-IT services: Construction (building works) and facilities management,['Primary reason for decision'],0,7061199,2025-11-28T15:06:42.537934
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Catering, food services, or meals are mentioned in the tender details.","['Tender title does not mention software, IT, technology, cloud, data, digital, or systems', 'Tender is for provision of Hot Meals under the School Meals Scheme']",,7060102,2025-11-28T15:06:45.713469
False,high,"Physical goods only (furniture, equipment, vehicles, supplies) and catering services (meals)",['Primary reason for decision'],0,7042802,2025-11-28T15:06:48.081155
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) - Non-IT services. Version 1 does not bid on non-technology professional services.",['Primary reason for decision'],0,7059150,2025-11-28T15:06:50.839688
False,high,"Specific reason - Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) is listed in IMMEDIATE DISQUALIFICATION",['Primary reason for decision'],0,6959215,2025-11-28T15:06:53.454393
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Catering, food services, or meals are present in the tender title, which aligns with Version 1's non-technology professional services policy.","['Primary reason for decision', 'Tender title mentions physical goods']",0,7039135,2025-11-28T15:06:56.646015
False,high,Catering services are a physical good and not an IT service.,['Primary reason for decision'],0,7056980,2025-11-28T15:06:58.932655
False,high,"The tender details do not indicate any IT or technology services, but rather participant recruitment services.",['Primary reason for decision'],0,7059075,2025-11-28T15:07:01.291520
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) - furniture, equipment, and supplies are not IT services.",['Primary reason for decision'],,7058972,2025-11-28T15:07:03.741808
False,high,"The tender title does not mention software, IT, technology, cloud, data, digital, or systems.",['Tender title does not indicate an IT service'],0,7055380,2025-11-28T15:07:06.320025
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies)","['Main Classification: N/A', 'CPV Codes Found:', 'No PDF content available']",,7057058,2025-11-28T15:07:08.688314
False,high,"No PDF content available, which implies that no specific non-IT services are mentioned. However, the tender does not clearly match any of Version 1's IT capabilities as described.",['Tender lacks clear IT-related requirements'],0,7056287,2025-11-28T15:07:11.484084
False,high,"Non-IT service - Physical goods ONLY (furniture, equipment, vehicles, supplies) is mentioned in the tender details.",['Primary reason for decision'],0,7055434,2025-11-28T15:07:14.011076
False,high,"Specific reason - Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works mentioned in the tender details.","['Physical goods ONLY', 'Construction, facilities, or building works']",0,7054933,2025-11-28T15:07:16.914476
False,high,"Physical goods only - Furniture, equipment, vehicles, supplies, trees, ice machines (Section 2)","['Main Classification: N/A', 'CPV Codes Found: 0', 'Has Validated IT/Software CPV: False', 'Estimated Value: 0.0', 'Full PDF Content (organized by sections): No PDF content available']",0,7054367,2025-11-28T15:07:20.366364
False,high,"Physical goods only (furniture, equipment, vehicles, supplies) - Furniture, fixtures, or physical fit-outs are excluded from Version 1's bidding scope.","[""Tender description does not align with Version 1's IT-related services""]",0,7044371,2025-11-28T15:07:23.236489
False,high,"Specific reason - Physical goods ONLY (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7047142,2025-11-28T15:07:25.590829
False,high,"Physical goods ONLY (equipment) - furniture, equipment, vehicles, supplies, trees, ice machines",['Primary reason for decision'],0,7035683,2025-11-28T15:07:28.076327
False,high,"Physical goods only (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7045206,2025-11-28T15:07:30.311115
False,low,"Non-IT services - Catering, food services, or meals (Step 2)",['Catering services'],0,7046107,2025-11-28T15:07:32.699527
False,high,"Physical goods only - Furniture (equipment), Cleaning services, Medical equipment or healthcare supplies, Educational materials, Transportation or logistics services, Paper printing or publishing services are all outside the scope of Version 1's capabilities.","['Primary reason for decision', 'Lack of IT capability', 'Non-IT service']",0,7016526,2025-11-28T15:07:35.875654
False,high,"Specific reason - non-IT service: Eradication of Cherry Laurel Rhododendron and Seabuckthorn at various sites in Fingal Co Dublin is a physical landscaping task, not an IT-related service.",['Primary reason for decision'],0,7044692,2025-11-28T15:07:38.899315
False,low,"Physical goods ONLY (furniture, equipment, vehicles, supplies) and Construction, facilities, or building works are mentioned in the tender details. Version 1 does not bid on these services.","['No match for IT-related requirements', ""Version 1's service restrictions""]",,7044294,2025-11-28T15:07:41.721013
False,high,"Physical goods ONLY (vehicles) and Construction, facilities, or building works mentioned in the tender details.",['Primary reason for decision'],0,7041161,2025-11-28T15:07:44.155643
False,high,Non-IT services: Food and catering services are mentioned in the tender details.,"['Tender does not mention software, IT, technology, cloud, data, digital, or systems; includes food/catering services']",0,6825061,2025-11-28T15:07:46.939212
False,low,"Physical goods only (furniture, equipment, vehicles, supplies, trees, ice machines) and non-IT services (construction, facilities, or building works, cleaning, maintenance, or janitorial services) are mentioned in the tender title. As a technology company, we do not bid on these types of services.",['Tender title mentions physical goods and non-IT services'],0,7039620,2025-11-28T15:07:50.344973
False,high,Non-IT services - Food or catering services are not available in the PDF content.,['Primary reason for decision'],,7040040,2025-11-28T15:07:52.554607
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies) and Construction, facilities, or building works are mentioned in the tender title.",['Tender title mentions physical goods and construction'],0,7005162,2025-11-28T15:07:55.235263
False,high,Physical goods ONLY (catering) - Food or catering services are excluded from Version 1's bidding scope.,"[""Catering services exclude Version 1's capabilities""]",0,7053070,2025-11-28T15:07:57.822977
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies, trees, ice machines) and Construction, facilities, or building works are mentioned in the tender details.",['Primary reason for decision'],0,7042639,2025-11-28T15:08:00.452674
False,high,"Physical goods only (furniture, equipment, vehicles) - Furniture is excluded from Version 1's bidding scope",['Primary reason for decision'],0,7051733,2025-11-28T15:08:02.941732
False,high,Non-IT service - Catering services are excluded from bidding as per Version 1's company policy.,['Catering services'],,7049030,2025-11-28T15:08:05.226271
False,high,No PDF content available for review.,['Lack of relevant documentation'],0,7050076,2025-11-28T15:08:07.381935
False,high,"Non-IT service - Physical goods ONLY (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],,7050827,2025-11-28T15:08:09.596647
False,high,"Physical goods only (furniture, equipment, vehicles, supplies) are mentioned in the tender title, but there is no clear IT/technology component. Version 1 does not bid on physical goods or non-technology professional services.",['Primary reason for decision'],0,7045093,2025-11-28T15:08:12.569242
False,high,"The tender requires construction and fit out of a new daycare centre, which falls under physical goods/services. It also does not mention software, IT, technology, cloud, data, digital, or systems.","['Primary reason for decision', 'Non-IT services']",0,7044337,2025-11-28T15:08:15.559210
False,low,Non-IT service - Supply of a physical vehicle (wheelchair-accessible minibus) for Respond Housing Association,['Primary reason for decision'],0,6992808,2025-11-28T15:08:17.996299
False,high,"Non-IT service - Catering, food services, or meals",['Primary reason for decision'],0,7047356,2025-11-28T15:08:20.296685
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies)",['Primary reason for decision'],0,7049791,2025-11-28T15:08:22.592406
False,high,"Physical goods ONLY (furniture, equipment, vehicles, supplies) - Reject immediately as this tender is for educational toys and materials, which falls under physical goods category.",['Tender is for physical goods'],0,6917802,2025-11-28T15:08:25.316774
